symbol,symbol_name,fast_ma,slow_ma,atr_config,total_return,benchmark_return,annualized_return,annualized_benchmark,annualized_excess_return,max_drawdown,trade_count,holding_ratio,eligible
399006.SZ,创业板指,10,20,长周期ATR,0.5120821290439981,0.5029503771193011,0.0735080536774948,0.07239311275556881,0.0011149409219259887,-0.4398237573576338,12,0.9836623553437712,False
000016.SH,上证50,10,20,长周期ATR,-0.11116513145200202,-0.043010897758050226,-0.020012583925084204,-0.007513324632236529,-0.012499259292847675,-0.3378453137000874,18,0.9060585432266848,False
000300.SH,沪深300,10,20,长周期ATR,0.28685542208619674,0.08796885835723467,0.04421351907888127,0.014568516085060601,0.02964500299382067,-0.22286142694987565,10,0.9680054458815521,True
000905.SH,中证500,10,20,长周期ATR,0.15669068223160232,0.34243545124274366,0.0252850337172692,0.051815362855263114,-0.026530329137993913,-0.2815402710336098,5,0.9598366235534377,False
000852.SH,中证1000,10,20,长周期ATR,0.14552967705939657,0.23020960052344552,0.023581102534137033,0.03618068123075746,-0.012599578696620428,-0.31983100728904024,3,0.9727705922396188,False
932000.SH,中证2000,10,20,长周期ATR,0.5549262493828047,0.5888259077982627,0.07866579769879278,0.08266398506961314,-0.003998187370820361,-0.3065422527406493,13,0.9652825051055139,False
000001.SH,上证综指,10,20,严格ATR,0.24906185131830116,0.36083951098068123,0.03835527405099537,0.05352689954135159,-0.015171625490356222,-0.1383167200428771,16,0.9227669576897246,False
399001.SZ,深证成指,10,20,严格ATR,0.0,0.2967351612158451,0.0,0.0449585796445664,-0.0449585796445664,0.0,0,0.9704499664204164,False
399006.SZ,创业板指,10,20,严格ATR,0.3490814546073009,0.6350233158051395,0.051980775859063355,0.08676846649072556,-0.034787690631662205,-0.41965347145715015,4,0.9704499664204164,False
000016.SH,上证50,10,20,严格ATR,0.11960243225165179,-0.0050496018178567414,0.019303738746151655,-0.0008563982414463434,0.020160136987598,-0.31246169868824736,9,0.9932840832773674,True
000300.SH,沪深300,10,20,严格ATR,0.1282500213841482,0.15454361299222796,0.020631902536416558,0.02461897701270166,-0.003987074476285102,-0.3316625916197836,8,0.9657488247145736,False
000905.SH,中证500,10,20,严格ATR,0.2110883990347021,0.45251584369556075,0.032943986043120876,0.06521559503868479,-0.032271608995563916,-0.2688506016427684,3,0.9583613163196776,False
000852.SH,中证1000,10,20,严格ATR,0.18022873348840251,0.3873325453112686,0.028441601988604903,0.05697033130590623,-0.028528729317301327,-0.31263302031042495,3,0.9476158495634655,False
932000.SH,中证2000,10,20,严格ATR,0.5253549121252981,0.8093653958427425,0.07407323365380303,0.10556436346807363,-0.0314911298142706,-0.2886901174902379,20,0.9301544660846206,False
000001.SH,上证综指,10,20,宽松ATR,0.3155419284373444,0.36083951098068123,0.04750814764751454,0.05352689954135159,-0.006018751893837049,-0.2045894485996832,9,0.9785090664875755,False
399001.SZ,深证成指,10,20,宽松ATR,0.0,0.2967351612158451,0.0,0.0449585796445664,-0.0449585796445664,0.0,0,0.9704499664204164,False
399006.SZ,创业板指,10,20,宽松ATR,0.5266558235038001,0.6350233158051395,0.07422820904597383,0.08676846649072556,-0.012540257444751735,-0.266561451830722,3,0.9704499664204164,False
000016.SH,上证50,10,20,宽松ATR,0.11926270492760138,-0.0050496018178567414,0.019251387038693668,-0.0008563982414463434,0.02010778528014001,-0.31246169868824736,7,0.9932840832773674,True
000300.SH,沪深300,10,20,宽松ATR,0.18109522709420078,0.15454361299222796,0.02856934944280054,0.02461897701270166,0.003950372430098881,-0.23299080237939918,5,0.9711215580926796,True
000905.SH,中证500,10,20,宽松ATR,0.21578489237050014,0.45251584369556075,0.03362081979379772,0.06521559503868479,-0.031594775244887074,-0.2649592289971483,1,0.9697783747481531,False
000852.SH,中证1000,10,20,宽松ATR,0.17261668337005376,0.3873325453112686,0.027315993232897018,0.05697033130590623,-0.029654338073009212,-0.31263302031042495,1,0.9691067830758898,False
932000.SH,中证2000,10,20,宽松ATR,0.5069252184649078,0.8093653958427425,0.07186585304034465,0.10556436346807363,-0.03369851042772898,-0.3182627774477732,14,0.9523169912693082,False
000001.SH,上证综指,10,30,标准ATR,0.14313613572395067,0.28754766142377286,0.023055142592322442,0.04400376708487297,-0.020948624492550527,-0.23924819748445003,10,0.982420554428668,False
399001.SZ,深证成指,10,30,标准ATR,0.0,0.18320936911528252,0.0,0.029078795701500848,-0.029078795701500848,0.0,0,0.9729546991210277,False
399006.SZ,创业板指,10,30,标准ATR,0.5315346278616984,0.48020335572881123,0.07533283372051236,0.06910479271135639,0.006228041009155971,-0.4066355055641524,6,0.973630831643002,False
000016.SH,上证50,10,30,标准ATR,0.11184248640425398,-0.04407810952313573,0.018228151434311002,-0.0076513937292399525,0.025879545163550954,-0.3226890134407274,8,0.9790398918187965,True
000300.SH,沪深300,10,30,标准ATR,0.22205024892740033,0.08508997491257952,0.03475778997545542,0.014011419740380893,0.02074637023507453,-0.28676468791188814,6,0.9837728194726166,True
000905.SH,中证500,10,30,标准ATR,0.2717909625347499,0.3377541264481685,0.04181574397301269,0.050830514980855446,-0.009014771007842759,-0.1801349743066215,3,0.9553752535496958,False
000852.SH,中证1000,10,30,标准ATR,0.09257669057365137,0.24070390231089078,0.015200089683373275,0.037432106610023164,-0.02223201692664989,-0.3349049633194904,1,0.9729546991210277,False
932000.SH,中证2000,10,30,标准ATR,0.6153043125693531,0.6288774295914319,0.08513432230049944,0.08668254148951648,-0.0015482191890170416,-0.2906727551906184,12,0.9729546991210277,False
