symbol,name,window_id,signal_date,market_env,wy_phase,wy_direction,wy_confidence,wy_signal_type,wy_bc,wy_spring,factor_signal,fwd_return,fwd_max_gain,fwd_max_dd,bench_return,excess_return
600936.SH,北投科技,16,2024-09-13,bear_bottom,markup,持有观察,C,markup,True,False,AVOID,52.47,73.09,2.24,21.64,30.83
600936.SH,北投科技,17,2024-10-08,crash_bottom,markup,持有观察,C,markup,True,False,AVOID,15.03,34.97,13.64,-7.69,22.72
600936.SH,北投科技,18,2025-01-13,structural_low,markdown,空仓观望,C,markdown,True,False,HOLD,39.7,70.79,-0.37,3.48,36.22
600936.SH,北投科技,19,2025-03-04,bull_start,unknown,空仓观望,D,no_signal,False,False,HOLD,8.51,38.6,7.9,3.44,5.07
600936.SH,北投科技,20,2025-04-07,event_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,16.88,42.5,5.31,17.08,-0.2
301105.SZ,鸿铭股份,13,2023-10-23,bear_bottom,markdown,空仓观望,B,markdown,True,False,HOLD,-19.85,16.75,45.39,2.21,-22.06
301105.SZ,鸿铭股份,14,2024-02-05,crash_bottom,markdown,空仓观望,B,markdown,True,False,HOLD,19.44,35.51,16.06,8.74,10.7
301105.SZ,鸿铭股份,15,2024-05-20,bull_start,unknown,空仓观望,D,no_signal,False,False,HOLD,-14.19,1.72,20.82,-3.95,-10.24
301105.SZ,鸿铭股份,16,2024-09-13,bear_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,25.88,47.93,3.7,21.64,4.24
301105.SZ,鸿铭股份,17,2024-10-08,crash_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,-4.84,7.5,22.74,-7.69,2.85
301105.SZ,鸿铭股份,18,2025-01-13,structural_low,markdown,空仓观望,C,markdown,True,False,HOLD,36.58,72.76,1.84,3.48,33.1
301105.SZ,鸿铭股份,19,2025-03-04,bull_start,markup,持有观察,C,markup,True,False,AVOID,19.42,41.09,19.84,3.44,15.98
301105.SZ,鸿铭股份,20,2025-04-07,event_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,40.49,55.66,11.56,17.08,23.41
002661.SZ,克明食品,1,2018-10-19,bear_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,13.05,16.12,3.71,21.72,-8.67
