date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,lppl_vote,positive_lppl_vote,negative_lppl_vote,trend_buy_vote,trend_sell_vote,vol_buy_vote,vol_sell_vote,drawdown_buy_vote,drawdown_sell_vote,buy_votes,sell_votes,buy_streak,sell_streak,cooldown_remaining,buy_reentry_block_remaining,holding_bars,positive_regime_id,negative_regime_id,atr_ratio,price_drawdown,recent_drawdown_min,vol_position_cap,positive_days_left,negative_days_left,positive_consensus,negative_consensus,param_source
2023-05-17,399001.SZ,11084.56,11120.97,11036.77,11091.08,326266963.0,none,0.0,无信号,hold,1.0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,614,0,0,0.9769583555231263,-0.07331851678558898,-0.09006245586997541,1.0,,,0.0,0.0,optimal_yaml
2023-05-18,399001.SZ,11108.33,11144.48,11024.09,11078.28,371723075.0,none,0.0,无信号,hold,1.0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,615,0,0,0.8966954199535613,-0.07438798188593487,-0.09006245586997541,1.0,,,0.0,0.0,optimal_yaml
2023-05-19,399001.SZ,11061.75,11145.51,11034.63,11091.36,355407470.0,none,0.0,无信号,hold,1.0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,616,0,0,0.8795851930388316,-0.0732951222365189,-0.09006245586997541,1.0,,,0.0,0.0,optimal_yaml
2023-05-22,399001.SZ,11083.38,11159.31,11037.21,11127.04,345667850.0,none,0.0,无信号,hold,1.0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,617,0,0,0.8808744122958867,-0.07024718117205075,-0.09006245586997541,1.0,,,0.0,0.0,optimal_yaml
2023-05-23,399001.SZ,11124.26,11137.63,11012.58,11012.58,340074032.0,none,0.0,无信号,hold,1.0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,618,0,0,0.8874781745686352,-0.07981122584548128,-0.09006245586997541,1.0,,,0.0,0.0,optimal_yaml
2023-05-24,399001.SZ,10976.73,11028.57,10920.33,10920.33,345570373.0,none,0.0,无信号,hold,1.0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,619,0,0,0.8986712526994975,-0.08751944811635282,-0.09006245586997541,1.0,,,0.0,0.0,optimal_yaml
2023-05-25,399001.SZ,10915.12,10954.24,10801.22,10896.58,377513829.0,none,0.0,无信号,hold,1.0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,620,0,0,0.905379563657819,-0.08950394978500531,-0.09006245586997541,1.0,,,0.0,0.0,optimal_yaml
2023-05-26,399001.SZ,10889.27,10926.84,10798.65,10909.65,357576008.0,none,0.0,无信号,hold,1.0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,621,0,0,0.9374624397003103,-0.08841184718250894,-0.09006245586997541,1.0,,,0.0,0.0,optimal_yaml
2023-05-29,399001.SZ,10942.67,10961.79,10790.5,10822.09,395539317.0,none,0.0,无信号,hold,1.0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,622,0,0,0.9567770255707249,-0.09572818259754967,-0.09572818259754967,1.0,,,0.0,0.0,optimal_yaml
2023-05-30,399001.SZ,10799.4,10869.55,10697.87,10869.55,397341086.0,none,0.0,无信号,hold,1.0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,623,0,0,0.9804508815509339,-0.09176252157884446,-0.09572818259754967,1.0,,,0.0,0.0,optimal_yaml
2023-05-31,399001.SZ,10849.81,10849.81,10732.42,10793.85,388079766.0,none,0.0,无信号,hold,1.0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,624,0,0,1.0221795818488535,-0.09808785952903387,-0.09808785952903387,1.0,,,0.0,0.0,optimal_yaml
2023-06-01,399001.SZ,10758.89,10913.64,10735.51,10835.9,419041309.0,none,0.0,无信号,hold,1.0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,625,0,0,1.0297540692826987,-0.09457424710095641,-0.09808785952903387,1.0,,,0.0,0.0,optimal_yaml
2023-06-02,399001.SZ,10875.31,11012.55,10875.31,10998.07,406446845.0,none,0.0,无信号,hold,1.0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,626,0,0,1.0289011946269973,-0.08102365191757177,-0.09808785952903387,1.0,,,0.0,0.0,optimal_yaml
2023-06-05,399001.SZ,10990.73,10990.73,10903.05,10946.08,375801794.0,none,0.0,无信号,hold,1.0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,627,0,0,1.0231931093025413,-0.08536783051770847,-0.09808785952903387,1.0,,,0.0,0.0,optimal_yaml
2023-06-06,399001.SZ,10928.51,10933.61,10752.22,10773.45,414938520.0,none,0.0,无信号,hold,1.0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,628,0,0,1.0834803916812916,-0.09979244201495008,-0.09979244201495008,1.0,,,0.0,0.0,optimal_yaml
2023-06-07,399001.SZ,10783.31,10799.46,10681.48,10708.82,348520500.0,none,0.0,无信号,hold,1.0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,629,0,0,1.081863754266607,-0.10519279329263509,-0.10519279329263509,1.0,,,0.0,0.0,optimal_yaml
2023-06-08,399001.SZ,10710.91,10775.34,10648.14,10722.87,369611572.0,none,0.0,无信号,hold,1.0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,630,0,0,1.0889546831764327,-0.10401880388444262,-0.10519279329263509,1.0,,,0.0,0.0,optimal_yaml
2023-06-09,399001.SZ,10733.52,10793.93,10697.36,10793.93,408492315.0,none,0.0,无信号,hold,1.0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,631,0,0,1.0735425333054034,-0.09808117489183421,-0.10519279329263509,1.0,,,0.0,0.0,optimal_yaml
2023-06-12,399001.SZ,10769.02,10914.62,10752.01,10873.74,405335425.0,none,0.0,无信号,hold,1.0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,632,0,0,1.0931714598683175,-0.09141241370551167,-0.10519279329263509,1.0,,,0.0,0.0,optimal_yaml
